,,,"Percentage of 18-64 population who see good opportunities to start a firm in the area where they live","Percentage of 18-64 population who believe they have the required skills and knowledge to start a business","Percentage of the 18â€“64 population who agree that they see good opportunities but would not start a business for fear it might fail. NOTE: this is a percentage of those seeing good opportunities, and not the total adult population","Percentage of 18-64 population (individuals involved in any stage of entrepreneurial activity excluded) who are latent entrepreneurs and who intend to start a business within three years","Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business","Percentage of 18-64 population who are currently an owner-manager of an established business, i.e., owning and managing a running business that has paid salaries, wages, or any other payments to the owners for more than 42 months","Percentage of female 18-64 population who are either a nascent entrepreneur or owner-manager of a new business, divided by the equivalent percentage for their male counterparts","Percentage of those involved in TEA who expect to create 6 or more jobs in 5 years","Percentage of those involved in TEA in the Business Services sector  Information and Communication, Financial Intermediation and Real Estate, Professional Services or Administrative Services, as defined by the ISIC 4.0 Business Type Codebook"
49,Germany,2012,36.16,37.09,41.91,6.01,5.34,4.95,0.50,23.10,30.45
30,Greece,2012,12.95,50.00,61.29,9.51,6.51,12.27,0.51,11.00,24.45
36,Hungary,2012,10.95,39.83,34.28,12.96,9.22,8.10,0.45,25.80,23.40
353,Ireland,2012,25.55,45.16,35.37,5.43,6.15,8.32,0.48,31.45,34.79
39,Italy,2012,19.80,29.97,57.68,10.76,4.32,3.32,0.51,10.37,24.94
371,Latvia,2012,33.05,43.56,36.74,21.85,13.39,7.93,0.43,48.43,16.87
370,Lithuania,2012,29.99,39.83,35.78,17.98,6.69,8.24,0.44,41.79,28.81
31,Netherlands,2012,34.40,42.30,30.45,8.63,10.31,9.49,0.48,11.69,27.95
389,"North Macedonia",2012,30.79,55.11,39.43,27.74,6.97,6.73,0.49,27.73,11.67
47,Norway,2012,64.43,34.37,39.37,4.91,6.75,5.75,0.36,12.59,33.08
48,Poland,2012,20.42,53.89,43.45,21.57,9.36,5.81,0.49,22.48,18.10
351,Portugal,2012,16.19,46.80,42.30,14.37,7.67,6.23,0.66,18.05,23.75
40,Romania,2012,36.73,38.34,40.87,27.02,9.22,3.91,0.40,39.83,17.26
7,Russia,2012,20.08,23.50,46.51,2.23,4.34,2.05,0.64,26.27,8.91
421,Slovakia,2012,17.84,49.73,38.32,11.83,10.22,6.38,0.49,29.52,32.35
386,Slovenia,2012,19.62,51.32,27.28,13.25,5.42,5.79,0.32,23.43,41.83
34,Spain,2012,13.90,50.38,41.76,11.13,5.70,8.74,0.54,9.31,25.65
46,Sweden,2012,66.48,36.99,32.61,10.96,6.44,5.25,0.61,15.72,38.23
41,Switzerland,2012,35.67,37.34,32.29,7.26,5.93,8.44,0.85,10.68,33.62
44,"United Kingdom",2012,32.82,47.13,36.01,9.52,8.98,6.16,0.54,23.66,33.00
32,Belgium,2011,42.97,43.99,40.73,10.89,5.69,6.79,0.66,10.39,30.22
387,"Bosnia and Herzegovina",2011,20.53,48.86,30.47,17.17,8.10,4.99,0.47,21.71,14.89
385,Croatia,2011,18.25,48.97,34.26,17.88,7.32,4.20,0.47,31.02,29.99
420,"Czech Republic",2011,23.90,39.22,34.62,13.93,7.64,5.20,0.38,34.97,22.78
45,Denmark,2011,46.64,34.97,40.52,6.72,4.63,4.93,0.46,22.92,33.13
358,Finland,2011,60.82,37.26,31.96,7.13,6.25,8.81,0.53,15.20,31.09
33,France,2011,34.92,38.43,37.13,17.70,5.73,2.38,0.34,27.78,36.63
49,Germany,2011,35.17,37.14,41.99,5.49,5.62,5.64,0.66,19.98,25.07
30,Greece,2011,10.87,49.69,37.76,10.50,7.95,15.79,0.58,7.59,20.56
36,Hungary,2011,14.22,39.98,34.93,19.54,6.29,2.00,0.52,36.93,22.64
353,Ireland,2011,25.57,45.50,33.22,5.75,7.25,7.98,0.41,34.19,34.30
371,Latvia,2011,23.65,46.53,41.00,24.83,11.85,5.67,0.53,40.21,20.87
370,Lithuania,2011,23.20,35.40,39.92,16.81,11.26,6.33,0.46,33.52,23.84
31,Netherlands,2011,47.78,41.87,35.08,8.50,8.21,8.65,0.58,16.94,33.53
47,Norway,2011,67.07,33.24,40.53,8.67,6.94,6.65,0.44,14.39,30.60
48,Poland,2011,33.10,51.99,42.93,22.69,9.03,4.97,0.39,38.40,21.23
351,Portugal,2011,16.74,46.67,39.63,12.17,7.54,5.71,0.45,16.47,24.95
40,Romania,2011,36.06,41.63,36.12,24.66,9.89,4.57,0.59,42.37,25.42
7,Russia,2011,27.06,33.20,43.44,3.61,4.57,2.84,0.79,29.45,9.45
421,Slovakia,2011,23.08,52.92,31.83,17.80,14.20,9.64,0.40,27.66,19.99
386,Slovenia,2011,18.37,50.79,31.10,9.21,3.65,4.78,0.59,35.50,34.27
34,Spain,2011,14.41,50.86,38.91,7.99,5.81,8.85,0.64,18.26,23.07
46,Sweden,2011,71.49,40.32,34.57,9.78,5.80,7.00,0.63,20.88,37.88
41,Switzerland,2011,47.40,42.45,30.57,9.52,6.58,10.15,0.99,13.19,28.75
44,"United Kingdom",2011,33.30,42.47,36.05,8.85,7.29,7.16,0.56,26.58,42.61
32,Belgium,2010,39.58,44.86,35.06,8.22,3.67,2.69,0.83,10.12,33.49
387,"Bosnia and Herzegovina",2010,38.25,62.55,27.45,16.76,7.74,6.64,0.37,13.21,10.37
385,Croatia,2010,23.32,53.19,31.18,7.43,5.52,2.90,0.55,30.14,29.08
45,Denmark,2010,46.42,40.75,31.51,5.91,3.77,5.56,0.44,18.54,37.68
358,Finland,2010,51.13,39.53,28.61,5.89,5.72,9.44,0.52,9.43,28.27
33,France,2010,33.87,37.27,40.48,14.18,5.83,2.44,0.68,18.45,28.31
49,Germany,2010,28.48,41.63,33.69,6.37,4.17,5.69,0.54,17.71,34.09
30,Greece,2010,15.91,52.18,50.86,12.84,5.51,14.84,0.59,10.34,28.12
36,Hungary,2010,33.33,43.36,42.41,13.82,7.13,5.42,0.42,23.50,27.32
354,Iceland,2010,48.74,48.99,33.69,15.71,10.58,7.42,0.51,29.68,33.54
353,Ireland,2010,22.50,49.15,33.36,6.14,6.76,8.55,0.41,28.00,30.72
39,Italy,2010,24.68,42.42,36.80,3.97,2.35,3.70,0.74,17.48,36.97
371,Latvia,2010,29.10,50.75,39.87,21.35,9.68,7.64,0.50,35.46,23.85
382,Montenegro,2010,36.07,70.88,30.42,31.86,14.94,7.81,0.54,27.37,13.33
31,Netherlands,2010,44.80,45.51,23.76,5.47,7.22,9.03,0.43,21.23,46.65
389,"North Macedonia",2010,34.26,59.72,30.91,26.69,7.88,7.58,0.34,30.15,7.41
47,Norway,2010,49.75,40.45,26.62,7.56,7.72,6.71,0.33,23.23,39.73
351,Portugal,2010,20.25,52.08,29.71,8.76,4.40,5.44,0.51,10.62,15.06
40,Romania,2010,17.52,38.18,41.12,8.59,4.29,2.08,0.62,33.20,20.30
7,Russia,2010,21.65,22.69,41.69,2.61,3.94,2.79,0.79,16.47,8.77
386,Slovenia,2010,26.80,56.34,27.55,8.73,4.65,4.94,0.45,20.96,41.57
34,Spain,2010,18.84,50.20,36.35,5.82,4.31,7.72,0.59,7.79,25.71
46,Sweden,2010,66.10,42.43,28.90,8.53,4.88,6.40,0.56,18.06,43.28
41,Switzerland,2010,33.33,43.85,27.04,6.66,5.04,8.68,0.80,9.38,39.90
44,"United Kingdom",2010,29.24,51.82,30.34,5.10,6.42,6.37,0.52,19.01,29.53
32,Belgium,2009,14.54,36.65,27.66,5.23,3.51,2.51,0.56,22.04,43.72
387,"Bosnia and Herzegovina",2009,34.98,56.97,32.11,16.60,4.43,3.88,0.51,15.35,
385,Croatia,2009,37.00,59.10,35.13,7.90,5.58,4.84,0.34,29.51,
45,Denmark,2009,33.85,35.35,37.15,2.60,3.64,4.69,0.53,20.88,40.50
358,Finland,2009,39.66,35.07,25.94,4.21,5.17,8.51,0.67,17.55,
33,France,2009,24.12,27.11,46.61,15.89,4.35,3.21,0.30,30.38,34.92
49,Germany,2009,22.18,39.74,37.19,5.27,4.10,5.15,0.81,18.62,38.70
30,Greece,2009,26.48,58.06,44.58,14.60,8.79,15.12,0.52,3.22,18.10
36,Hungary,2009,2.85,40.86,33.26,13.05,9.13,6.70,0.53,26.92,28.68
354,Iceland,2009,44.39,49.84,36.06,14.96,11.45,8.91,0.54,28.82,
39,Italy,2009,24.73,41.19,39.17,4.46,3.72,5.82,0.33,7.44,36.16
371,Latvia,2009,17.89,49.60,39.65,9.80,10.51,9.00,0.55,20.88,
31,Netherlands,2009,36.16,47.49,28.71,5.46,7.19,8.06,0.70,15.99,30.09
47,Norway,2009,48.84,44.07,24.60,7.69,8.53,8.28,0.36,19.74,37.44
40,Romania,2009,13.80,27.33,52.84,6.25,5.02,3.38,0.46,10.38,26.10
7,Russia,2009,17.11,23.67,51.77,2.39,3.88,2.28,0.71,21.22,8.88
381,Serbia,2009,29.33,72.29,27.96,22.20,4.90,10.12,0.40,15.56,
386,Slovenia,2009,29.13,52.03,29.68,9.70,5.36,5.65,0.32,26.77,
34,Spain,2009,15.99,47.53,45.43,4.33,5.10,6.40,0.62,11.70,25.33
41,Switzerland,2009,35.09,48.94,28.57,7.24,7.72,8.36,0.74,27.12,46.23
44,"United Kingdom",2009,24.04,47.02,31.65,4.32,5.74,6.07,0.47,20.73,40.50
32,Belgium,2008,14.10,36.26,33.36,6.39,2.85,2.63,0.41,27.09,20.65
387,"Bosnia and Herzegovina",2008,45.59,68.38,22.61,24.54,9.02,8.70,0.63,17.68,3.53
385,Croatia,2008,44.38,59.80,34.18,9.71,7.59,4.83,0.42,28.58,21.16
45,Denmark,2008,62.15,32.17,42.17,5.45,4.04,3.35,0.50,24.20,33.47
358,Finland,2008,50.18,39.07,23.12,5.24,7.34,9.17,0.45,15.46,21.41
33,France,2008,21.59,24.66,52.02,12.70,5.64,2.80,0.41,20.55,23.84
49,Germany,2008,23.91,35.14,40.23,4.19,3.77,4.03,0.84,11.94,26.11
30,Greece,2008,28.11,55.30,45.50,12.63,9.86,12.63,0.64,8.25,15.03
36,Hungary,2008,18.90,48.10,34.49,6.15,6.61,5.34,0.66,10.16,42.57
354,Iceland,2008,36.67,51.81,35.27,11.88,10.05,7.14,0.56,33.24,34.37
353,Ireland,2008,26.55,47.80,33.12,6.42,7.59,9.02,0.36,31.68,29.78
39,Italy,2008,29.66,40.05,44.86,7.12,4.62,6.48,0.44,17.83,37.56
371,Latvia,2008,21.92,29.06,34.31,6.60,6.53,2.99,0.38,29.85,21.42
31,Netherlands,2008,39.09,37.81,29.38,3.65,5.20,7.16,0.47,6.25,34.15
389,"North Macedonia",2008,46.74,62.20,33.32,39.04,14.47,11.03,0.42,26.44,15.06
47,Norway,2008,38.79,40.63,25.01,7.00,8.70,7.68,0.43,22.52,32.76
40,Romania,2008,25.75,23.77,48.81,8.55,3.98,2.07,0.36,23.18,19.78
7,Russia,2008,30.06,17.61,56.94,3.11,3.49,1.11,0.56,13.03,7.61
381,Serbia,2008,51.22,64.24,25.84,30.85,7.59,9.26,0.52,24.87,24.32
386,Slovenia,2008,44.75,50.80,25.44,7.31,6.40,5.59,0.46,23.45,46.84
34,Spain,2008,25.40,46.51,47.19,4.97,7.03,9.05,0.74,13.88,23.10
44,"United Kingdom",2008,30.18,49.91,33.70,5.27,5.91,6.05,0.46,20.99,
43,Austria,2007,50.68,52.61,34.28,5.26,2.44,6.00,0.60,18.93,44.37
32,Belgium,2007,16.31,37.37,27.63,5.63,3.15,1.40,0.46,14.76,32.37
385,Croatia,2007,43.93,60.67,29.79,10.48,7.27,4.22,0.54,29.58,24.57
45,Denmark,2007,70.59,36.12,33.85,6.16,5.39,6.00,0.73,29.37,34.74
358,Finland,2007,52.96,39.73,28.97,4.61,6.91,7.58,0.54,17.56,27.88
33,France,2007,23.26,33.47,40.55,15.25,3.17,1.74,0.53,10.38,32.04
30,Greece,2007,28.54,47.93,53.86,11.81,5.71,13.31,0.43,12.63,23.11
36,Hungary,2007,28.08,44.46,17.38,8.70,6.86,4.83,0.49,10.73,30.55
354,Iceland,2007,68.73,46.36,38.72,14.87,12.48,8.77,0.43,27.82,33.30
353,Ireland,2007,46.15,49.43,36.69,7.70,8.22,9.02,0.56,18.43,34.31
39,Italy,2007,39.50,50.51,40.48,10.28,5.01,5.56,0.49,12.86,33.52
371,Latvia,2007,33.75,26.38,46.44,4.34,4.46,3.41,0.18,28.81,26.11
31,Netherlands,2007,42.02,39.15,21.97,3.97,5.18,6.36,0.56,18.54,40.41
47,Norway,2007,46.29,36.23,18.34,5.64,6.18,4.79,0.45,20.90,38.34
351,Portugal,2007,32.96,57.85,29.12,9.83,8.78,7.09,0.51,21.94,
40,Romania,2007,26.23,29.35,33.47,11.68,4.02,2.51,0.62,29.59,24.95
7,Russia,2007,10.57,8.65,42.03,3.46,2.67,1.68,0.43,21.99,11.03
381,Serbia,2007,48.01,63.01,25.70,32.93,8.56,5.27,0.42,17.65,13.61
386,Slovenia,2007,47.53,48.04,26.66,9.33,4.78,4.59,0.39,27.61,34.01
34,Spain,2007,33.70,45.14,47.17,4.28,7.62,6.38,0.56,13.58,25.88
46,Sweden,2007,50.33,41.65,28.54,9.00,4.15,4.70,0.43,24.75,21.10
41,Switzerland,2007,34.94,40.84,29.44,6.94,6.27,6.59,0.65,18.18,25.04
44,"United Kingdom",2007,39.00,48.71,34.16,5.57,5.53,5.10,0.49,21.42,31.06
32,Belgium,2006,15.37,34.59,36.18,5.76,2.73,2.12,0.24,14.98,28.12
385,Croatia,2006,42.75,58.07,29.94,8.76,8.47,4.12,0.40,29.01,16.81
420,"Czech Republic",2006,26.73,37.98,31.23,9.01,7.85,5.41,0.46,33.22,24.02
45,Denmark,2006,64.59,36.41,38.54,6.53,5.31,5.28,0.45,23.29,30.44
358,Finland,2006,49.82,36.53,36.47,5.11,4.99,8.23,0.68,15.48,21.93
33,France,2006,20.79,33.32,42.79,13.32,4.39,1.33,0.40,8.93,20.74
49,Germany,2006,20.03,39.00,34.33,5.34,4.21,3.03,0.45,22.40,25.19
30,Greece,2006,22.20,46.40,48.42,12.55,7.90,8.24,0.42,6.59,12.44
36,Hungary,2006,16.11,43.11,15.12,9.01,6.04,6.72,0.50,11.94,26.08
354,Iceland,2006,60.39,50.20,39.90,15.39,10.21,6.68,0.36,27.98,17.66
353,Ireland,2006,44.00,50.92,34.49,6.26,7.35,7.82,0.40,25.66,31.76
39,Italy,2006,23.20,44.49,38.12,8.27,3.47,3.03,0.79,16.43,22.11
371,Latvia,2006,41.19,36.11,45.39,12.50,6.53,5.69,0.42,40.84,18.24
31,Netherlands,2006,45.73,37.54,31.92,3.75,5.40,6.59,0.50,19.12,31.88
47,Norway,2006,50.98,39.13,25.03,6.22,8.90,5.98,0.47,23.52,31.22
7,Russia,2006,23.72,25.14,39.98,6.07,4.84,1.19,0.35,26.37,14.18
386,Slovenia,2006,38.84,47.71,27.70,7.28,4.63,4.44,0.33,25.37,31.33
34,Spain,2006,32.70,46.18,44.33,4.37,7.27,5.45,0.65,12.33,24.71
46,Sweden,2006,46.04,41.86,27.70,9.29,3.45,4.99,0.55,24.49,21.27
44,"United Kingdom",2006,36.76,49.62,33.19,5.56,5.76,5.41,0.46,24.72,41.40
43,Austria,2005,29.13,45.98,30.26,4.86,5.28,3.84,0.53,22.76,36.67
32,Belgium,2005,42.51,44.49,29.00,6.12,3.93,5.63,0.45,17.86,31.60
385,Croatia,2005,37.21,58.74,38.51,6.49,6.11,3.65,0.26,36.25,14.13
45,Denmark,2005,65.75,37.93,39.96,7.19,4.71,4.35,0.47,20.82,40.79
358,Finland,2005,46.60,36.37,28.93,4.32,4.92,8.59,0.81,14.93,34.25
33,France,2005,21.65,35.98,42.37,11.41,5.35,2.27,0.45,9.18,21.30
49,Germany,2005,17.61,40.58,40.24,5.27,5.09,4.21,0.61,15.94,26.47
30,Greece,2005,16.47,44.61,50.32,14.70,6.50,10.49,0.35,20.46,8.55
36,Hungary,2005,10.33,14.58,29.59,1.55,1.88,2.01,1.69,9.58,22.90
354,Iceland,2005,62.41,46.75,41.85,15.89,10.59,7.29,0.44,24.16,18.11
353,Ireland,2005,51.87,49.94,34.04,8.37,9.83,8.06,0.39,24.62,26.92
39,Italy,2005,14.88,32.10,30.43,8.79,4.94,6.41,0.60,16.18,
371,Latvia,2005,36.07,38.04,37.31,10.57,6.65,5.01,0.59,30.08,22.66
31,Netherlands,2005,39.07,41.67,30.33,4.14,4.34,5.66,0.31,14.10,28.41
47,Norway,2005,46.42,41.78,21.75,7.30,9.11,7.27,0.33,16.29,34.62
386,Slovenia,2005,20.90,35.46,31.68,8.64,4.36,6.26,0.50,32.89,34.92
34,Spain,2005,38.00,47.74,42.03,4.21,5.65,7.71,0.58,3.26,25.51
46,Sweden,2005,45.33,44.68,34.06,14.27,4.04,6.32,0.59,16.03,32.17
41,Switzerland,2005,38.53,51.19,26.72,6.50,6.05,9.69,0.67,13.98,25.48
44,"United Kingdom",2005,38.75,50.97,33.42,6.66,6.19,5.09,0.43,29.51,30.69
32,Belgium,2004,37.52,38.75,31.53,5.69,3.42,4.03,0.42,17.42,24.92
385,Croatia,2004,19.27,41.59,27.54,3.90,3.73,2.15,0.30,12.72,14.05
45,Denmark,2004,49.18,40.24,24.67,6.52,5.31,5.06,0.43,26.63,32.30
358,Finland,2004,38.26,36.09,36.10,3.72,4.35,7.48,0.54,10.85,20.96
33,France,2004,21.13,33.08,42.32,11.56,6.03,1.45,0.46,10.07,21.74
49,Germany,2004,13.22,35.81,30.12,4.25,4.40,4.31,0.42,19.13,35.38
30,Greece,2004,29.15,54.45,48.27,11.44,5.77,6.54,0.33,4.91,14.55
36,Hungary,2004,16.59,21.41,37.93,2.49,4.29,2.18,0.68,9.98,14.86
354,Iceland,2004,55.11,48.28,43.85,12.96,13.57,7.34,0.54,21.97,24.07
353,Ireland,2004,45.09,47.73,34.14,7.78,7.70,6.50,0.48,26.65,22.99
39,Italy,2004,25.36,32.63,32.02,9.33,4.32,4.72,0.36,30.21,
31,Netherlands,2004,38.25,36.72,31.75,4.63,5.11,6.09,0.44,15.82,27.26
47,Norway,2004,41.28,41.76,26.37,7.61,6.86,6.29,0.34,14.40,25.92
48,Poland,2004,35.88,50.09,37.52,17.80,8.78,8.24,0.39,21.81,17.87
351,Portugal,2004,23.24,46.31,28.59,2.18,3.85,7.30,0.98,,11.54
386,Slovenia,2004,37.14,43.18,26.36,8.35,2.60,4.20,0.44,26.64,50.21
34,Spain,2004,39.32,41.37,45.50,4.31,5.15,7.79,0.39,4.62,17.81
46,Sweden,2004,40.84,42.25,32.05,10.04,3.71,6.03,0.42,18.57,25.16
44,"United Kingdom",2004,36.20,51.70,32.61,7.38,6.25,5.11,0.46,29.27,35.23
32,Belgium,2003,17.60,35.30,26.14,4.73,3.88,2.21,0.34,20.89,26.30
385,Croatia,2003,25.59,37.45,34.05,6.39,2.56,2.55,0.38,18.09,25.57
45,Denmark,2003,41.92,36.62,29.34,5.07,5.88,5.66,0.33,26.91,36.06
358,Finland,2003,48.73,38.50,36.97,5.52,3.14,0.50,0.26,44.03,13.00
33,France,2003,9.33,24.91,34.09,5.82,1.63,1.64,0.95,20.10,
49,Germany,2003,13.52,38.20,32.79,5.62,5.22,4.64,0.47,19.62,36.42
30,Greece,2003,23.70,52.18,49.06,11.39,6.77,19.61,0.42,12.28,8.62
354,Iceland,2003,50.39,47.70,37.91,14.31,11.18,7.30,0.52,16.90,15.60
353,Ireland,2003,33.06,45.95,36.98,6.95,8.10,6.70,0.29,31.73,27.30
39,Italy,2003,34.01,35.13,38.36,6.48,3.11,2.26,0.95,18.40,
31,Netherlands,2003,29.13,32.08,24.39,4.45,3.60,3.77,0.50,16.60,27.27
47,Norway,2003,37.47,39.76,24.43,6.56,7.35,6.15,0.36,20.25,33.00
386,Slovenia,2003,32.38,38.38,28.97,10.28,4.05,5.45,0.26,32.74,43.85
34,Spain,2003,31.40,31.21,39.60,4.93,6.65,4.03,0.43,17.20,59.21
46,Sweden,2003,38.60,42.25,30.33,12.68,4.12,5.31,0.34,14.22,27.46
41,Switzerland,2003,25.08,50.22,29.86,9.41,7.29,7.26,0.42,22.08,33.05
44,"United Kingdom",2003,35.24,48.39,30.75,5.42,6.35,5.78,0.43,25.52,29.96
32,Belgium,2002,15.84,35.17,30.99,4.69,2.99,2.24,0.34,15.55,24.51
385,Croatia,2002,17.19,39.57,26.75,6.00,3.62,2.17,0.34,24.21,10.22
45,Denmark,2002,50.83,36.77,24.69,6.24,6.53,5.52,0.48,34.09,36.79
358,Finland,2002,51.23,39.00,28.20,5.00,4.56,8.53,0.63,22.42,25.26
33,France,2002,10.26,26.27,21.61,3.02,3.13,1.27,0.50,27.18,9.81
49,Germany,2002,20.46,35.20,37.12,4.55,5.16,4.83,0.49,24.84,39.91
36,Hungary,2002,9.67,53.25,16.58,5.88,6.53,5.48,0.50,19.13,24.76
354,Iceland,2002,42.35,46.16,39.22,13.46,11.32,10.44,0.53,20.88,23.37
353,Ireland,2002,38.54,49.54,29.98,7.44,9.14,7.95,0.45,25.12,20.79
39,Italy,2002,40.47,39.00,29.29,9.40,5.74,3.63,0.52,29.29,23.36
31,Netherlands,2002,48.79,36.56,23.34,3.67,4.59,4.56,0.61,21.07,31.71
47,Norway,2002,44.01,42.16,25.83,8.73,8.64,6.27,0.36,16.12,34.30
48,Poland,2002,8.02,22.22,24.42,2.19,3.96,2.00,0.69,1.27,11.67
7,Russia,2002,14.22,15.23,35.50,2.51,2.47,1.11,0.42,22.14,4.29
386,Slovenia,2002,29.81,44.34,26.36,9.05,4.63,6.69,0.45,31.09,25.07
34,Spain,2002,41.67,48.82,41.97,6.96,4.59,8.39,0.39,12.16,16.00
46,Sweden,2002,44.91,42.73,29.96,12.52,3.90,6.76,0.48,24.87,38.59
41,Switzerland,2002,33.85,48.52,25.08,8.42,7.13,6.82,0.51,21.52,30.23
44,"United Kingdom",2002,27.19,45.50,32.64,4.23,5.36,5.48,0.42,28.01,25.77
32,Belgium,2001,19.96,30.32,37.87,,4.19,3.02,0.51,13.54,18.85
45,Denmark,2001,45.78,40.81,23.72,,7.23,4.25,0.43,3.48,43.89
358,Finland,2001,54.91,37.61,35.17,,8.16,7.46,0.54,19.09,35.07
33,France,2001,6.89,20.01,28.71,,5.72,1.62,0.43,8.37,24.89
49,Germany,2001,23.65,30.11,41.75,,6.28,4.18,0.44,17.44,32.00
36,Hungary,2001,8.63,55.30,10.44,,10.86,5.90,0.57,15.79,20.25
353,Ireland,2001,34.26,46.28,40.14,,11.37,4.52,0.43,20.01,21.43
39,Italy,2001,47.85,33.36,28.00,,9.11,3.60,0.97,24.96,23.68
31,Netherlands,2001,42.49,36.52,27.31,,5.87,3.75,0.50,29.82,46.86
47,Norway,2001,58.75,36.43,28.88,,7.40,6.51,0.45,20.31,31.88
48,Poland,2001,13.97,38.57,44.28,,8.04,4.75,0.65,11.85,17.44
351,Portugal,2001,22.28,41.70,31.32,,6.61,4.71,0.39,13.30,14.68
34,Spain,2001,48.46,48.65,36.22,,6.32,4.72,0.71,12.97,22.38
46,Sweden,2001,42.34,44.41,31.19,,5.65,5.65,0.59,25.72,34.33
44,"United Kingdom",2001,23.00,45.96,33.24,,6.49,3.35,0.39,17.46,27.53
